current_stage,stage_index,state,paf_count,area,open_litigations,resolved_litigations,compensation_pct,rehabilitation_progress_pct,days_in_current_stage,prior_stage_avg_days,stage_overrun_ratio,observed_elapsed_days,delay_label,delay_days,remaining_delay_days,started_day
3C,1,Maharashtra,328,84.5,0,1,64.9,39.9,21,45.5,0.233,67,0,0,80,1116
3C,1,Karnataka,220,175.1,2,0,41.6,73.8,45,149.0,0.5,194,1,97,53,1115
3A,0,Rajasthan,70,28.6,0,0,56.5,32.0,6,20.4,0.1,26,0,13,47,1115
3A,0,Gujarat,29,8.1,2,1,85.0,56.3,27,55.4,0.45,82,1,34,12,1115
3A,0,Gujarat,34,29.0,0,1,75.8,65.7,33,22.0,0.55,55,0,3,8,1115
3D,2,Tamil Nadu,140,47.7,1,0,64.6,55.2,26,74.7,0.217,175,0,29,124,1113
3D,2,Gujarat,585,348.4,0,1,66.5,47.1,52,48.9,0.433,150,0,49,169,1113
3A,0,Gujarat,81,53.0,0,0,68.1,69.0,2,35.0,0.033,37,0,0,21,1113
3C,1,Gujarat,60,3.0,2,0,42.1,35.9,47,55.0,0.522,102,1,165,213,1112
3C,1,Uttar Pradesh,190,78.8,0,0,79.4,73.1,37,85.4,0.411,122,0,3,31,1111
3A,0,Andhra Pradesh,187,103.9,0,0,47.4,36.8,16,5.7,0.267,22,0,17,55,1111
3H,4,Maharashtra,261,156.0,0,0,88.5,68.4,219,23.1,3.65,311,0,0,107,1111
3G,3,Maharashtra,37,16.8,0,0,42.7,25.5,28,47.5,0.311,170,0,171,361,1110
3D,2,Tamil Nadu,431,144.0,1,0,62.8,55.1,119,24.4,0.992,168,0,26,128,1110
3G,3,Gujarat,42,13.8,0,0,58.1,27.8,176,32.1,1.956,272,0,35,123,1110
3G,3,Karnataka,165,161.1,0,0,70.3,46.1,53,45.9,0.589,191,0,0,165,1109
3E,5,Rajasthan,894,231.3,1,0,28.4,39.6,85,36.7,1.889,269,1,264,461,1109
3D,2,Maharashtra,13,25.4,1,0,79.7,69.5,84,77.3,0.7,239,0,13,45,1108
3E,5,Karnataka,381,164.4,0,1,83.8,60.1,80,57.9,1.778,369,0,0,91,1107
3C,1,Madhya Pradesh,99,74.4,0,0,56.9,55.7,10,37.9,0.111,48,0,18,120,1107
3A,0,Rajasthan,161,103.6,0,1,89.4,60.8,33,22.1,0.55,55,0,3,7,1106
3E,5,Madhya Pradesh,269,198.7,0,0,79.2,48.8,68,49.4,1.511,315,0,0,144,1105
3A,0,Maharashtra,177,83.7,5,1,37.4,43.4,48,18.5,0.8,67,1,102,95,1104
3G,3,Andhra Pradesh,247,171.8,1,0,54.3,61.9,141,62.3,1.567,328,1,240,272,1104
3E,5,Madhya Pradesh,348,91.6,2,0,49.1,56.3,125,66.0,2.778,455,1,483,493,1102
3D,2,Uttar Pradesh,199,71.1,2,1,74.0,59.9,142,74.8,1.183,292,0,67,46,1102
3C,1,Rajasthan,72,3.0,1,0,36.3,46.2,39,70.2,0.433,109,1,243,284,1102
3A,0,Madhya Pradesh,111,40.2,1,1,73.7,77.2,36,43.3,0.6,79,1,38,18,1102
3D,2,Madhya Pradesh,158,92.6,1,0,44.4,16.3,15,46.3,0.125,108,1,384,546,1101
3H,4,Andhra Pradesh,165,89.7,0,0,43.5,34.0,31,26.1,0.517,135,0,96,380,1100
3H,4,Maharashtra,799,385.9,2,0,18.6,32.9,51,48.3,0.85,244,1,986,1162,1100
3H,4,Rajasthan,67,35.4,1,0,74.4,69.6,244,25.5,4.067,346,0,50,124,1099
3D,2,Tamil Nadu,363,9.4,1,4,75.2,57.9,85,64.6,0.708,214,0,25,81,1098
3A,0,Madhya Pradesh,83,10.3,1,1,48.5,55.4,26,12.5,0.433,39,1,43,65,1098
3H,4,Tamil Nadu,728,408.6,3,0,57.0,72.4,268,75.5,4.467,570,1,328,178,1097
3H,4,Maharashtra,311,137.3,0,1,39.0,20.6,84,41.6,1.4,250,0,197,367,1096
3C,1,Uttar Pradesh,70,15.9,1,0,65.9,65.5,24,76.5,0.267,101,0,22,72,1095
3D,2,Gujarat,137,68.3,0,0,53.4,49.7,29,36.8,0.242,103,0,0,167,1095
3H,4,Gujarat,423,138.5,3,2,43.9,53.2,211,81.7,3.517,538,1,757,639,1094
3D,2,Rajasthan,36,3.0,0,0,75.0,58.3,115,88.7,0.958,292,0,104,81,1092
3A,0,Andhra Pradesh,564,73.1,2,1,34.7,44.6,20,57.0,0.333,77,1,100,83,1092
3C,1,Madhya Pradesh,228,91.7,1,0,79.5,52.3,46,120.3,0.511,166,0,46,29,1091
3E,5,Rajasthan,130,50.7,0,0,79.6,52.2,109,64.1,2.422,430,0,207,242,1091
3D,2,Madhya Pradesh,90,59.7,1,0,49.0,43.8,78,12.5,0.65,103,0,77,244,1090
3D,2,Madhya Pradesh,465,138.8,1,0,72.5,63.8,111,86.1,0.925,283,0,61,48,1089
3A,0,Madhya Pradesh,181,85.8,0,1,44.8,38.0,14,28.2,0.233,42,1,36,54,1089
3G,3,Gujarat,64,28.3,1,0,33.6,40.9,115,44.9,1.278,250,1,226,336,1089
3C,1,Madhya Pradesh,264,162.5,0,1,28.8,31.9,16,38.4,0.178,54,0,62,157,1088
3D,2,Madhya Pradesh,254,32.5,0,0,64.4,47.4,41,52.9,0.342,147,0,16,139,1088
3D,2,Maharashtra,687,288.8,0,1,46.2,35.6,80,31.7,0.667,143,1,247,373,1087
3H,4,Gujarat,32,3.0,0,0,46.4,31.3,93,9.7,1.55,132,0,30,319,1087
3H,4,Tamil Nadu,217,135.0,1,2,41.8,28.4,204,38.3,3.4,357,1,639,701,1087
3D,2,Maharashtra,715,334.7,6,1,26.8,51.2,198,82.9,1.65,364,1,944,851,1087
3C,1,Maharashtra,295,115.4,1,1,56.0,37.3,71,25.0,0.789,96,0,55,109,1086
3C,1,Maharashtra,77,13.1,1,0,45.1,58.0,54,58.5,0.6,113,1,89,127,1085
3A,0,Maharashtra,88,23.3,0,0,85.9,39.0,31,30.6,0.517,62,0,15,13,1084
3D,2,Andhra Pradesh,70,34.3,2,0,51.6,52.1,63,102.4,0.525,268,1,204,206,1084
3A,0,Gujarat,74,52.6,1,0,51.8,50.6,10,18.1,0.167,28,0,15,47,1084
3G,3,Madhya Pradesh,131,73.3,1,1,57.7,51.3,96,35.8,1.067,203,0,31,188,1084
3G,3,Gujarat,31,17.5,0,0,33.8,26.6,59,26.9,0.656,140,1,211,431,1083
3C,1,Gujarat,272,154.8,3,1,56.5,52.8,63,115.3,0.7,178,1,127,99,1082
3C,1,Rajasthan,680,278.3,0,0,40.1,25.4,22,43.3,0.244,65,0,66,150,1082
3C,1,Maharashtra,120,35.9,1,0,87.2,66.2,89,55.7,0.989,145,0,22,27,1082
3H,4,Uttar Pradesh,174,111.4,0,1,61.9,44.3,199,17.2,3.317,268,0,117,269,1081
3H,4,Rajasthan,74,3.5,1,0,53.9,44.2,141,62.8,2.35,392,1,249,276,1081
3C,1,Tamil Nadu,414,249.4,3,1,24.0,46.0,64,47.4,0.711,111,1,478,516,1081
3G,3,Uttar Pradesh,183,125.5,0,0,59.2,57.2,47,29.8,0.522,137,0,0,214,1080
3H,4,Andhra Pradesh,413,66.9,2,1,48.1,23.3,266,49.1,4.433,463,1,511,468,1080
3A,0,Rajasthan,347,130.7,2,0,51.5,16.8,19,41.5,0.317,61,1,62,61,1079
3G,3,Tamil Nadu,1030,405.4,0,1,85.7,69.4,15,95.9,0.167,303,0,7,65,1079
3C,1,Uttar Pradesh,383,160.6,2,1,57.4,61.8,70,113.4,0.778,183,0,56,22,1076
3D,2,Madhya Pradesh,115,68.6,1,0,32.4,27.8,78,41.7,0.65,161,1,462,571,1076
3H,4,Gujarat,252,114.2,2,0,46.6,52.9,172,25.5,2.867,274,1,253,399,1075
3D,2,Gujarat,75,6.4,0,1,29.7,43.5,62,34.5,0.517,131,1,226,365,1074
3E,5,Andhra Pradesh,72,55.5,0,0,79.5,54.6,191,53.3,4.244,458,0,94,102,1074
3D,2,Karnataka,223,87.5,1,0,47.7,56.5,84,73.8,0.7,232,1,174,212,1074
3H,4,Tamil Nadu,214,106.9,0,0,64.1,28.9,111,47.1,1.85,300,1,229,349,1073
3G,3,Rajasthan,104,17.5,1,0,61.1,53.9,106,38.0,1.178,220,0,93,233,1073
3C,1,Karnataka,43,14.2,0,0,67.4,36.3,13,49.5,0.144,63,0,0,82,1073
3G,3,Andhra Pradesh,270,189.5,2,1,74.4,64.8,104,122.1,1.156,470,1,262,152,1072
3C,1,Madhya Pradesh,86,64.5,0,0,57.2,46.8,34,115.1,0.378,149,0,53,54,1070
3A,0,Rajasthan,218,90.6,3,0,75.7,38.7,21,36.7,0.35,58,0,23,25,1070
3D,2,Madhya Pradesh,713,315.9,0,0,44.3,34.2,74,10.0,0.617,94,0,74,250,1068
3D,2,Andhra Pradesh,102,37.9,0,0,58.7,54.1,78,71.9,0.65,222,0,99,148,1068
3G,3,Maharashtra,321,3.0,1,1,44.5,36.9,55,21.4,0.611,119,0,67,308,1068
3H,4,Karnataka,97,40.4,1,0,69.1,51.9,278,44.5,4.633,456,1,223,187,1067
3G,3,Madhya Pradesh,390,197.8,1,0,60.5,42.9,203,36.6,2.256,313,1,197,244,1067
3C,1,Uttar Pradesh,125,58.4,1,1,54.9,62.5,86,92.9,0.956,179,1,77,48,1067
3H,4,Tamil Nadu,150,4.5,1,0,46.7,54.9,113,39.6,1.883,271,0,83,231,1067
3H,4,Uttar Pradesh,226,162.2,1,2,55.2,54.9,142,27.1,2.367,251,0,58,228,1066
3A,0,Gujarat,432,156.8,2,1,17.0,16.7,2,20.9,0.033,23,1,195,232,1066
3H,4,Madhya Pradesh,53,37.6,1,0,70.0,66.2,45,75.5,0.75,347,0,47,120,1065
3G,3,Maharashtra,97,72.8,2,0,43.5,66.7,159,43.2,1.767,289,1,286,357,1065
3D,2,Andhra Pradesh,152,13.8,1,0,57.2,21.5,34,29.4,0.283,93,0,42,220,1065
3A,0,Madhya Pradesh,137,88.9,1,0,57.5,34.8,3,22.6,0.05,26,0,29,63,1064
3A,0,Uttar Pradesh,96,38.8,0,1,38.0,40.1,17,13.2,0.283,30,1,36,66,1064
3A,0,Madhya Pradesh,105,41.3,0,0,63.3,58.2,33,19.9,0.55,53,1,78,85,1064
3A,0,Madhya Pradesh,134,42.2,2,0,65.0,61.9,17,41.3,0.283,58,0,14,16,1063
3D,2,Andhra Pradesh,104,7.8,0,1,79.2,38.5,103,73.9,0.858,251,0,110,129,1063
3D,2,Uttar Pradesh,100,101.4,2,0,38.1,38.8,55,26.2,0.458,107,1,178,341,1062
3C,1,Tamil Nadu,126,74.6,1,1,84.0,44.2,67,54.9,0.744,122,0,16,44,1061
3C,1,Uttar Pradesh,238,81.1,1,0,44.0,36.1,8,75.1,0.089,83,1,88,155,1061
3C,1,Maharashtra,114,88.6,0,3,42.0,63.8,37,110.9,0.411,148,0,74,76,1061
3C,1,Uttar Pradesh,49,25.1,2,2,83.5,47.2,55,118.4,0.611,173,1,85,62,1060
3D,2,Madhya Pradesh,207,36.2,2,1,85.5,60.2,102,86.1,0.85,274,0,61,57,1059
3C,1,Maharashtra,62,38.6,0,0,68.6,46.9,49,58.3,0.544,107,0,19,62,1059
3E,5,Maharashtra,160,37.8,2,0,68.6,78.4,170,54.3,3.778,441,0,44,68,1059
3G,3,Maharashtra,641,174.9,1,1,45.8,37.0,209,18.4,2.322,264,0,175,271,1058
3G,3,Gujarat,534,244.8,1,0,50.7,31.8,80,47.4,0.889,222,0,125,263,1058
3A,0,Rajasthan,504,74.1,3,0,28.2,34.8,18,12.6,0.3,31,1,96,125,1057
3A,0,Maharashtra,55,31.9,0,0,67.7,59.1,10,38.6,0.167,49,0,19,30,1057
3D,2,Tamil Nadu,151,81.5,0,0,59.4,50.1,85,18.6,0.708,122,0,16,163,1056
3A,0,Rajasthan,144,61.7,1,0,64.5,56.3,14,33.9,0.233,48,0,18,31,1056
3E,5,Tamil Nadu,43,10.8,1,0,50.3,42.6,110,23.0,2.444,225,0,160,400,1056
3C,1,Rajasthan,55,38.0,0,1,67.7,42.1,54,91.9,0.6,146,1,79,83,1056
3C,1,Uttar Pradesh,111,59.8,3,0,52.9,57.4,85,107.0,0.944,192,1,129,86,1055
3H,4,Madhya Pradesh,90,58.1,0,0,48.3,33.2,46,20.9,0.767,130,0,7,298,1055
3A,0,Maharashtra,31,20.0,0,0,83.1,68.9,25,33.2,0.417,58,0,8,10,1055
3A,0,Andhra Pradesh,104,32.2,0,1,84.4,74.0,30,23.7,0.5,54,0,4,10,1055
3H,4,Maharashtra,85,42.7,2,0,74.9,89.2,239,39.0,3.983,395,0,15,40,1054
3A,0,Madhya Pradesh,57,32.1,1,0,58.5,49.1,20,18.6,0.333,39,0,15,37,1053
3A,0,Rajasthan,285,183.7,2,1,57.0,38.9,22,35.7,0.367,58,1,56,58,1053
3G,3,Karnataka,53,14.5,2,1,41.5,56.2,156,52.1,1.733,312,1,400,448,1053
3A,0,Uttar Pradesh,152,81.5,0,0,44.1,55.3,14,12.1,0.233,26,0,2,36,1053
3D,2,Andhra Pradesh,152,130.1,1,1,67.2,60.8,134,39.0,1.117,212,0,101,159,1052
3C,1,Madhya Pradesh,49,45.1,0,0,41.6,46.2,32,31.6,0.356,64,0,68,155,1052
3A,0,Tamil Nadu,301,169.3,0,0,59.3,56.2,23,21.9,0.383,45,0,11,26,1051
3D,2,Karnataka,77,41.8,0,1,71.1,61.5,185,60.3,1.542,306,0,80,45,1049
3C,1,Gujarat,82,27.3,1,0,68.2,59.5,9,110.8,0.1,120,0,26,56,1049
3H,4,Gujarat,104,62.4,1,2,58.8,47.0,273,38.6,4.55,428,1,289,281,1048
3A,0,Rajasthan,166,96.3,0,0,68.3,50.8,28,12.5,0.467,40,0,22,42,1048
3C,1,Maharashtra,151,67.7,1,0,43.4,46.0,11,61.0,0.122,72,1,90,168,1048
3A,0,Rajasthan,59,12.7,1,0,87.8,71.4,20,26.9,0.333,47,0,3,16,1047
3D,2,Tamil Nadu,64,18.6,4,0,50.6,37.7,45,115.1,0.375,275,1,399,393,1046
3D,2,Madhya Pradesh,334,118.6,1,1,63.2,66.4,280,34.4,2.333,349,0,114,35,1044
3D,2,Andhra Pradesh,156,116.4,0,0,86.0,79.9,34,95.5,0.283,225,0,0,45,1044
3C,1,Maharashtra,35,3.0,0,0,65.1,53.0,64,72.7,0.711,137,0,47,60,1044
3A,0,Madhya Pradesh,43,18.5,2,0,57.5,52.8,11,10.4,0.183,21,0,2,41,1043
3D,2,Rajasthan,43,3.0,1,0,42.2,58.9,44,90.2,0.367,224,1,463,509,1043
3A,0,Gujarat,204,92.3,0,0,57.5,54.1,8,25.1,0.133,33,0,7,33,1043
3G,3,Uttar Pradesh,242,73.6,2,0,48.6,56.9,81,44.2,0.9,213,0,115,262,1042
3C,1,Tamil Nadu,38,38.6,0,1,43.1,33.1,25,59.9,0.278,85,1,76,141,1042
3H,4,Karnataka,201,92.3,0,1,62.5,65.7,130,20.0,2.167,210,0,12,222,1042
3D,2,Rajasthan,276,151.8,1,4,75.5,56.8,43,156.2,0.358,355,1,176,90,1042
3E,5,Uttar Pradesh,133,36.2,0,1,50.9,28.1,98,8.5,2.178,140,0,14,339,1041
3C,1,Karnataka,445,121.9,1,0,38.5,40.8,30,83.2,0.333,113,0,68,105,1041
3A,0,Karnataka,645,227.1,1,0,81.5,52.2,25,30.8,0.417,56,0,7,11,1040
3D,2,Rajasthan,56,23.3,0,0,83.0,49.9,37,121.5,0.308,280,0,78,68,1039
3D,2,Andhra Pradesh,94,50.9,0,0,79.6,50.0,25,114.5,0.208,254,0,33,49,1038
3G,3,Gujarat,88,39.2,1,0,61.8,44.1,124,53.4,1.378,284,0,179,254,1038
3G,3,Karnataka,379,277.4,2,0,52.5,64.4,30,53.4,0.333,190,0,3,173,1037
3G,3,Uttar Pradesh,177,72.1,1,1,72.1,80.6,165,50.4,1.833,316,0,20,64,1037
3E,5,Rajasthan,337,262.9,3,1,61.7,54.5,307,58.1,6.822,598,1,338,205,1037
3C,1,Andhra Pradesh,139,3.0,2,1,52.1,55.0,105,75.5,1.167,180,1,157,127,1036
3C,1,Gujarat,157,49.4,0,1,65.1,58.2,27,96.5,0.3,124,0,45,72,1036
3A,0,Uttar Pradesh,216,96.6,1,1,49.4,40.1,21,11.9,0.35,33,0,16,43,1036
3D,2,Rajasthan,224,122.9,2,1,30.7,39.1,35,117.6,0.292,270,1,229,229,1036
3A,0,Madhya Pradesh,104,84.8,2,0,66.1,51.7,33,46.0,0.55,79,1,48,29,1036
3D,2,Gujarat,224,74.9,1,2,67.9,64.1,131,113.8,1.092,359,1,191,102,1035
3A,0,Tamil Nadu,225,66.6,1,0,80.9,49.0,33,17.5,0.55,50,0,5,15,1035
3D,2,Maharashtra,86,8.5,0,0,53.4,37.0,47,23.5,0.392,94,0,3,179,1035
3C,1,Gujarat,254,127.0,2,0,88.8,78.6,94,30.0,1.044,124,0,5,31,1034
3A,0,Rajasthan,138,78.6,0,1,77.6,71.9,13,30.3,0.217,43,0,1,18,1034
3C,1,Gujarat,312,90.3,2,1,63.0,54.5,95,55.1,1.056,150,1,83,83,1034
3H,4,Uttar Pradesh,35,7.4,0,0,100.0,62.6,116,67.5,1.933,386,0,4,38,1033
3C,1,Uttar Pradesh,112,74.8,1,0,51.8,59.2,52,71.3,0.578,123,1,80,107,1032
3C,1,Andhra Pradesh,125,74.9,3,0,67.8,59.0,37,151.9,0.411,189,1,88,49,1032
3E,5,Uttar Pradesh,196,115.8,0,1,52.2,22.5,39,37.8,0.867,228,0,202,439,1031
3H,4,Maharashtra,238,91.1,0,0,43.2,61.6,98,49.4,1.633,296,0,26,151,1030
3D,2,Uttar Pradesh,58,29.5,0,0,39.6,36.3,17,45.4,0.142,108,1,213,375,1030
3D,2,Tamil Nadu,84,56.8,1,1,43.8,36.4,56,24.9,0.467,106,0,79,243,1030
3D,2,Karnataka,143,55.7,0,1,75.5,63.7,86,114.6,0.717,315,0,130,85,1030
3G,3,Tamil Nadu,261,79.9,2,0,51.6,35.4,97,62.5,1.078,285,1,242,318,1030
3A,0,Uttar Pradesh,220,130.2,0,1,76.5,34.6,19,34.9,0.317,54,0,21,27,1029
3C,1,Uttar Pradesh,150,58.1,1,0,50.4,58.6,86,39.4,0.956,125,0,69,93,1029
3C,1,Maharashtra,74,48.5,0,1,59.5,56.6,74,48.8,0.822,123,0,67,94,1028
3G,3,Maharashtra,352,124.4,1,1,77.7,37.7,18,108.3,0.2,343,0,51,68,1028
3H,4,Andhra Pradesh,252,129.3,1,0,71.9,60.2,141,34.7,2.35,280,0,35,176,1027
3G,3,Tamil Nadu,44,24.4,2,0,81.0,65.5,195,97.9,2.167,489,1,209,80,1027
3C,1,Rajasthan,191,87.2,1,0,46.5,47.4,73,39.0,0.811,112,1,129,167,1026
3G,3,Tamil Nadu,101,70.6,0,0,42.2,41.0,38,50.3,0.422,189,0,125,296,1026
3D,2,Gujarat,62,52.0,3,1,53.1,64.5,110,109.8,0.917,330,1,226,167,1026
3E,5,Uttar Pradesh,90,21.1,0,0,58.3,27.2,66,33.7,1.467,234,0,70,300,1025
3D,2,Tamil Nadu,124,67.8,0,0,63.5,42.7,45,29.2,0.375,103,0,34,201,1025
3D,2,Karnataka,152,73.5,0,0,59.6,63.9,42,83.5,0.35,209,0,29,90,1024
3C,1,Karnataka,112,70.8,1,0,50.5,38.7,56,38.2,0.622,94,1,92,148,1024
3E,5,Gujarat,36,32.8,1,0,76.8,66.6,111,34.2,2.467,282,0,30,213,1024
3D,2,Uttar Pradesh,55,3.0,2,0,42.6,35.2,55,33.6,0.458,122,0,106,254,1024
3C,1,Madhya Pradesh,147,74.4,0,1,65.2,70.9,70,34.0,0.778,104,0,9,55,1024
3A,0,Rajasthan,54,42.9,1,0,49.4,51.0,16,37.3,0.267,53,1,80,87,1022
3H,4,Maharashtra,120,25.8,0,0,55.7,56.8,213,16.2,3.55,278,0,69,212,1022
3D,2,Uttar Pradesh,237,69.3,0,0,64.4,36.9,43,35.1,0.358,113,0,0,154,1021
3H,4,Maharashtra,461,125.7,0,1,66.1,28.5,181,34.5,3.017,319,0,56,156,1021
3D,2,Uttar Pradesh,98,37.5,1,0,49.7,32.7,66,50.3,0.55,167,1,273,376,1020
3H,4,Maharashtra,472,229.0,3,1,44.6,67.4,46,87.4,0.767,395,0,116,141,1020
3E,5,Tamil Nadu,305,163.5,1,0,66.7,68.7,159,52.2,3.533,420,0,76,121,1020
3H,4,Maharashtra,747,615.9,3,1,38.9,31.6,79,47.9,1.317,271,1,775,924,1019
3C,1,Uttar Pradesh,78,29.8,0,0,48.0,36.2,46,27.6,0.511,74,0,59,135,1019
3G,3,Karnataka,127,73.6,0,0,66.6,38.6,16,100.5,0.178,317,0,120,163,1018
3A,0,Madhya Pradesh,58,26.1,0,0,54.8,31.9,7,11.3,0.117,18,0,9,51,1018
3D,2,Madhya Pradesh,12,5.8,0,0,71.2,45.5,110,15.5,0.917,141,0,17,146,1018
3E,5,Madhya Pradesh,313,121.6,1,0,36.5,39.5,42,21.6,0.933,150,0,62,377,1017
3H,4,Karnataka,357,275.1,2,0,57.6,36.2,69,72.5,1.15,359,0,140,201,1017
3G,3,Andhra Pradesh,128,80.3,3,2,48.4,45.4,33,106.8,0.367,353,1,518,524,1015
3D,2,Karnataka,37,3.0,0,0,43.7,24.2,77,49.2,0.642,175,1,199,294,1015
3A,0,Tamil Nadu,146,41.7,0,2,74.5,43.8,21,17.2,0.35,38,0,1,23,1015
3D,2,Maharashtra,251,61.3,0,0,44.0,49.5,117,15.1,0.975,147,0,69,191,1014
3A,0,Rajasthan,108,29.3,0,1,69.1,54.9,12,51.7,0.2,64,0,10,6,1014
3G,3,Uttar Pradesh,21,31.1,0,0,57.5,41.8,78,34.3,0.867,181,0,125,304,1014
3A,0,Tamil Nadu,63,40.0,0,0,70.6,58.9,13,50.9,0.217,64,0,21,17,1014
3G,3,Tamil Nadu,224,106.1,2,1,52.7,36.5,63,126.1,0.7,441,1,228,147,1014
3E,5,Tamil Nadu,178,43.6,1,2,57.3,47.2,99,44.0,2.2,319,0,199,345,1013
3D,2,Madhya Pradesh,402,205.8,1,1,53.6,48.3,174,23.5,1.45,221,1,172,221,1013
3D,2,Uttar Pradesh,84,10.6,0,0,48.8,46.1,48,32.4,0.4,113,1,152,309,1013
3G,3,Andhra Pradesh,103,25.1,1,1,34.1,46.2,92,57.3,1.022,264,1,917,1013,1012
3G,3,Maharashtra,265,73.0,0,0,65.4,54.0,109,53.9,1.211,271,0,99,188,1012
3C,1,Rajasthan,81,45.8,0,1,81.6,61.9,92,32.1,1.022,124,0,24,50,1012
3G,3,Karnataka,78,36.9,1,0,57.3,55.7,21,83.5,0.233,271,0,138,227,1012
3D,2,Uttar Pradesh,60,16.8,0,0,63.2,42.5,47,54.9,0.392,157,0,6,119,1011
3E,5,Tamil Nadu,113,52.7,3,1,40.4,65.1,283,42.5,6.289,495,1,621,591,1010
3C,1,Uttar Pradesh,78,30.2,0,0,87.9,68.1,57,83.8,0.633,141,0,5,14,1010
3D,2,Tamil Nadu,42,10.0,0,2,52.8,32.0,37,29.0,0.308,95,0,55,230,1009
3E,5,Madhya Pradesh,30,24.8,1,0,45.0,67.8,219,33.4,4.867,386,0,76,155,1009
3A,0,Maharashtra,154,118.2,1,0,40.1,51.5,10,16.7,0.167,27,0,19,52,1009
3H,4,Maharashtra,14,19.4,0,1,41.1,33.3,110,30.9,1.833,233,1,235,422,1008
3A,0,Gujarat,138,101.5,3,0,43.2,60.6,11,61.3,0.183,72,1,76,64,1007
3C,1,Rajasthan,531,117.5,1,0,47.8,60.5,54,91.5,0.6,145,1,94,98,1007
3G,3,Rajasthan,66,18.8,2,0,45.3,40.8,82,52.3,0.911,239,1,223,344,1006
3D,2,Tamil Nadu,78,43.9,0,0,88.3,48.6,119,93.0,0.992,305,0,76,41,1006
3D,2,Maharashtra,54,14.9,1,1,63.4,46.1,86,54.6,0.717,195,1,182,256,1005
3G,3,Karnataka,77,48.9,1,1,47.9,17.2,160,32.7,1.778,258,1,392,493,1004
3H,4,Maharashtra,91,74.1,1,1,70.6,52.8,105,55.5,1.75,327,1,254,346,1004
3A,0,Karnataka,31,11.8,1,1,50.7,51.9,14,17.3,0.233,31,0,14,43,1004
3G,3,Andhra Pradesh,9,3.0,0,1,75.9,65.2,77,68.9,0.856,284,0,42,118,1003
3G,3,Maharashtra,281,139.2,3,0,69.7,73.7,75,123.1,0.833,444,1,235,150,1003
3C,1,Rajasthan,524,234.3,1,1,39.0,39.5,31,55.2,0.344,86,1,102,166,1003
3H,4,Rajasthan,1056,502.3,1,1,38.0,22.8,134,31.5,2.233,260,1,257,417,1003
3D,2,Rajasthan,89,17.8,0,0,57.4,41.7,94,44.7,0.783,183,0,87,174,1003
3H,4,Maharashtra,75,31.1,1,2,54.4,30.0,36,41.7,0.6,203,1,319,536,1003
3E,5,Uttar Pradesh,199,137.7,1,0,31.9,33.7,85,28.7,1.889,229,1,457,693,1003
3A,0,Gujarat,211,152.7,2,1,69.7,71.4,33,49.7,0.55,83,1,54,32,1002
3A,0,Uttar Pradesh,271,149.4,0,0,55.2,36.8,11,12.5,0.183,24,0,4,40,1002
3A,0,Madhya Pradesh,92,37.3,1,0,54.3,39.2,28,25.6,0.467,54,1,47,54,1001
3A,0,Uttar Pradesh,199,73.9,1,1,63.3,41.7,14,30.1,0.233,44,0,23,39,1000
3C,1,Maharashtra,79,17.7,0,0,45.1,33.0,17,34.2,0.189,51,0,38,137,1000
3D,2,Uttar Pradesh,336,130.4,0,0,68.3,60.5,88,89.5,0.733,267,0,37,40,1000
3A,0,Rajasthan,99,65.7,1,0,59.2,43.4,7,29.4,0.117,36,0,12,36,999
3C,1,Madhya Pradesh,222,178.8,0,0,89.8,53.1,28,102.2,0.311,130,0,0,20,999
3A,0,Madhya Pradesh,120,29.7,2,0,70.0,55.5,46,31.1,0.767,77,0,27,10,999
3G,3,Tamil Nadu,139,51.6,0,0,42.5,34.9,77,21.3,0.856,141,0,139,358,997
3H,4,Tamil Nadu,113,54.5,1,0,69.3,57.1,80,90.5,1.333,442,1,240,218,997
3G,3,Rajasthan,50,3.0,1,0,61.0,63.8,197,43.3,2.189,327,0,78,111,997
3C,1,Karnataka,202,60.0,0,0,84.3,43.8,52,82.4,0.578,134,0,23,39,997
3D,2,Rajasthan,1119,625.2,1,3,64.2,54.8,78,71.9,0.65,222,0,106,154,996
3A,0,Madhya Pradesh,74,21.3,0,0,48.3,33.3,28,10.3,0.467,38,1,44,66,996
3C,1,Uttar Pradesh,1195,251.4,4,2,72.3,72.0,132,66.6,1.467,199,1,102,53,996
3D,2,Maharashtra,250,177.6,0,0,54.6,47.2,50,29.7,0.417,109,0,17,178,995
3A,0,Uttar Pradesh,353,104.4,1,3,62.6,45.3,21,28.0,0.35,49,0,20,31,995
3C,1,Andhra Pradesh,123,53.6,0,0,79.0,79.6,12,93.9,0.133,106,0,0,38,995
3G,3,Tamil Nadu,101,73.1,1,1,60.3,36.8,80,88.3,0.889,345,1,588,603,995
3D,2,Rajasthan,125,3.0,1,1,72.9,73.6,53,98.0,0.442,249,0,28,49,994
3D,2,Andhra Pradesh,265,116.9,4,0,39.3,38.9,215,52.0,1.792,319,1,738,689,994
3A,0,Gujarat,530,383.7,3,0,63.7,62.7,20,43.7,0.333,64,0,17,13,993
3H,4,Karnataka,81,16.6,1,2,65.2,43.5,208,41.1,3.467,372,0,123,171,993
3A,0,Maharashtra,204,118.2,0,0,67.9,63.9,10,46.3,0.167,56,0,10,14,993
3D,2,Maharashtra,44,7.7,3,1,42.0,63.9,158,96.9,1.317,352,1,213,131,993
